Type,Name,Difference,Url1,Url2,Value1,Value2
"View","[entitlementtemplate] Entitlement Template Advanced Find View","Only In VM TEST","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=eecb27e0-bc0e-4bb6-aabd-38526a863b1b","","Entitlement Template Advanced Find View",""
"View","[entitlementtemplate] Quick Find Entitlement Templates","Only In VM TEST","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=d608fc5c-cfc7-454c-960a-94a947bb6dd2","","Quick Find Entitlement Templates",""
"View","[entitlementtemplate] All Entitlement Templates","Only In VM TEST","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=fbe4040b-ab68-4324-8fef-9a68b2d9518c","","All Entitlement Templates",""
"View","[entitlementtemplate] Entitlement Template Lookup View","Only In VM TEST","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=8e05be39-3945-4eb3-b5e7-d9a0bafc7500","","Entitlement Template Lookup View",""
"View","[entitlementchannel] EntitlementChannel Lookup View","Only In VM TEST","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=4756c34c-8005-4b7f-b9d7-2c6e6d4feb70","","EntitlementChannel Lookup View",""
"View","[entitlementchannel] EntitlementChannel Associated View","Only In VM TEST","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=2e78404a-2dc2-4340-9c15-81503c03f888","","EntitlementChannel Associated View",""
"View","[entitlementchannel] EntitlementChannel Advanced Find View","Only In VM TEST","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=20489267-0f6c-4203-97fd-9203d2690c10","","EntitlementChannel Advanced Find View",""
"View","[entitlementchannel] Active EntitlementChannels","Only In VM TEST","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=a287d65e-d9fc-49b4-873e-d35cd58bb9a9","","Active EntitlementChannels",""
"View","[queueitem] Cases I am Working On","Only In VM TEST","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=32314b38-ddbc-47ee-ba27-1bfd8530ef63","","Cases I am Working On",""
"View","[queueitem] QueueItem Sub Grid View","Only In VM TEST","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=fad31c91-6638-45e7-84db-7257bd940e9c","","QueueItem Sub Grid View",""
"View","[queueitem] All Cases in Selected Queues","Only In VM TEST","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=7bea29f4-0240-4f79-9e89-e07a134dc405","","All Cases in Selected Queues",""
"View","[queueitem] Cases Available to Work On","Only In VM TEST","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=3e3ca60a-9732-48bd-b16f-f4682eff6f67","","Cases Available to Work On",""
"View","[queueitem] QueueItem Associated View","Different Fetch XML","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=31c1d587-5374-4c22-bdcf-54fe8cd1aee5","http://qa2012/WorkflowScheduler/tools/vieweditor/viewManager.aspx?id=31c1d587-5374-4c22-bdcf-54fe8cd1aee5","te name=""workerid"" /><filter type=""and"">","te name=""queueid"" /><attribute name=""wor"
"View","[queueitem] QueueItem Associated View","Different Layout XML","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=31c1d587-5374-4c22-bdcf-54fe8cd1aee5","http://qa2012/WorkflowScheduler/tools/vieweditor/viewManager.aspx?id=31c1d587-5374-4c22-bdcf-54fe8cd1aee5","ll name=""objecttypecode"" width=""100""/><c","ll name=""enteredon"" width=""140""/><cell n"
"View","[socialactivity] Processing Social Activities","Only In VM TEST","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=ce7337df-90b4-4940-8751-0c7bf8cd50eb","","Processing Social Activities",""
"View","[socialactivity] Received Social Activities","Only In VM TEST","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=c26ef3a5-0d49-42d3-abd9-0d75e5f849e3","","Received Social Activities",""
"View","[socialactivity] Failed Social Activities","Only In VM TEST","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=9e28442c-413e-4e5b-b3ed-1dcffe9f43a9","","Failed Social Activities",""
"View","[socialactivity] Social Activity Associated View","Only In VM TEST","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=ae2b791c-8210-49d3-ba16-3110af6864a4","","Social Activity Associated View",""
"View","[socialactivity] My Twitter Social Activities","Only In VM TEST","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=df8137b5-b580-4806-8a26-385b83cfb5bf","","My Twitter Social Activities",""
